filename,year_month,title,avg_sentiment
2023-10-15_3113.txt,2023-10,Iran warns Israel of regional escalation if Gaza ground offensive launched,0.57
2023-10-10_3252.txt,2023-10,‘We can’t confuse Hamas with all Palestinians’: Spain says amid aid review,0.92
2023-10-16_3092.txt,2023-10,Why reopening Egypt-Gaza Rafah crossing is crucial amid Israeli bombing,0.75
2024-01-30_1226.txt,2024-01,"Israel’s war on Gaza: List of key events, day 116",1.0
2024-01-02_1530.txt,2024-01,Survivors of Israel’s siege of Beirut see history repeating itself in Gaza,0.64
2023-10-29_2749.txt,2023-10,Thousands continue to march in support of Gaza in multiple cities worldwide,1.0
2024-01-14_1401.txt,2024-01,"Al Jazeera’s Samer Abudaqa was ‘targeted’, left to bleed by Israel: Report",0.62
2023-10-18_3032.txt,2023-10,Alain Gresh: ‘Macron’s party has a strong anti-Palestinian position’,0.91
2024-01-22_1315.txt,2024-01,‘Let’s talk about it’: EU’s Borrell presses Israel on two-state solution,0.67
2023-10-23_2915.txt,2023-10,"China urges Gaza ceasefire, willing to do whatever needed to end violence",0.93
2024-01-21_1321.txt,2024-01,Wounded Palestinians treated on French warship off Egyptian shore,0.69
2023-10-10_3236.txt,2023-10,Fears of war with Israel grow in Lebanon after rockets exchanged,0.81
2024-01-22_1318.txt,2024-01,"Netanyahu rejects Hamas deal to end war, release captives",0.75
2024-01-25_1277.txt,2024-01,Hamas blasts Israel’s plan to create buffer zone in Gaza as a ‘crime’,0.64
2024-01-11_1441.txt,2024-01,"French historian: Israel destroyed 4,000-year-old culture in Gaza",1.33
2023-10-20_2981.txt,2023-10,‘Silent annexation’: Settlers dispossess West Bank Bedouins amid Israel war,0.7
2024-01-29_1235.txt,2024-01,‘Israelism’: The promised land needs a new narrative,1.05
2024-01-06_1485.txt,2024-01,"Former US general: Israel may win in Gaza, but fail in the region",0.75
2024-01-19_1342.txt,2024-01,‘Criminal complaints’ filed against Israeli President Herzog in Switzerland,0.73
2023-10-21_2938.txt,2023-10,Hamas says Israel refused to receive 2 hostages; Israel calls it propaganda,0.74
2023-10-23_2905.txt,2023-10,"Gaza death toll tops 5,000, nearly half of them children: Officials",0.45
2023-10-26_2825.txt,2023-10,Palestinian ambassador urges UN to ‘stop the killing’ as Israel pounds Gaza,0.66
2024-01-19_1340.txt,2024-01,"‘Until Israel stops!’: Yemenis rally for Houthis, Palestinians in Sanaa",0.75
2024-01-26_1262.txt,2024-01,Who is Julia Sebutinde? The judge against all ICJ rulings in Israel’s case,0.89
